lat,lng,country
13.78,109.18,Vietnam
-7.98,112.61,Indonesia
27.8922,78.0618,India
49.835,24.03,Ukraine
44.85,-0.595,France
26.2325,-98.2467,United States
34.38,107.15,China
0.565,101.425,Indonesia
35.71,-0.62,Algeria
40.6703,122.28,China
19.35,73.13,India
41.28,123.18,China
28.645,-106.085,Mexico
32.7118,74.8467,India
2.2064,102.2465,Malaysia
47.8573,35.1768,Ukraine
28.8418,78.7568,India
36.89,30.7,Turkey
14.7979,42.953,Yemen
33.7,73.1666,Pakistan
-20.45,-54.6166,Brazil
30.0004,120.57,China
47.6999,128.9,China
12.9,74.85,India
51.25,7.17,Germany
36.6439,127.5012,"Korea, South"
6.92,122.08,Philippines
39.9101,127.5454,"Korea, North"
8.49,4.55,Nigeria
30.0533,119.9519,China
49.2504,6.97,Germany
42.0105,121.66,China
32.57,110.78,China
30.22,67.025,Pakistan
-8.12,-79.02,Peru
-5.89,22.4,Congo (Kinshasa)
40.98,39.72,Turkey
6.4,2.52,Benin
35.5004,112.83,China
35.1053,-106.6464,United States
51.775,19.4514,Poland
50.06,19.96,Poland
17.9667,102.6,Laos
25.42,-101.005,Mexico
-23.2,-45.8799,Brazil
39.8231,127.6232,"Korea, North"
13.6045,44.0394,Yemen
-29.61,30.39,South Africa
35.7473,-5.8327,Morocco
24.0734,120.5134,Taiwan
24.8168,120.9767,Taiwan
40.39,71.78,Uzbekistan
41,71.67,Uzbekistan
16.7,74.22,India
50.63,5.58,Belgium
8.37,-62.62,Venezuela
33.5276,-86.7988,United States
47.4,130.37,China
56.95,24.1,Latvia
18.0864,-15.9753,Mauritania
13.6192,123.1814,Philippines
54.36,18.64,Poland
37.3481,126.8595,"Korea, South"
49.45,11.08,Germany
7.8504,3.93,Nigeria
23.6133,58.5933,Oman
20.95,77.77,India
-8.65,115.22,Indonesia
13.06,5.24,Nigeria
21.4804,109.1,China
37.95,58.3833,Turkmenistan
53.08,8.8,Germany
35.5613,45.4309,Iraq
45.8,16,Croatia
52.367,9.7167,Germany
7.92,-72.52,Colombia
43.25,-79.83,Canada
-3.3396,37.34,Tanzania
24.8,113.58,China
32.8009,130.7006,Japan
39.7797,-84.1998,United States
34.6004,119.17,China
16.85,-99.916,Mexico
31.61,65.6949,Afghanistan
30.3204,78.05,India
43.168,-77.6162,United States
35.8314,127.1404,"Korea, South"
39.67,66.945,Uzbekistan
23.7004,113.0301,China
27.3391,-82.5439,United States
36.1839,113.1053,China
53.4804,49.53,Russia
-8.11,-35.02,Brazil
34.9858,138.3854,Japan
-20.17,28.58,Zimbabwe
10.92,-74.77,Colombia
36.7834,-119.7941,United States
33.9004,-5.56,Morocco
43.85,18.383,Bosnia And Herzegovina
-34.9096,-57.96,Argentina
20.5604,74.525,India
6.45,7.5,Nigeria
47.005,28.8577,Moldova
30.22,115.1,China
-10.9,-37.12,Brazil
40.5961,-75.4756,United States
50.7205,7.08,Germany
15.5,-88.03,Honduras
14.44,79.9899,India
37.5,15.08,Italy
26.7504,83.38,India
4.6,101.065,Malaysia
41.7846,129.79,"Korea, North"
36.1284,-95.9042,United States
36.55,139.87,Japan
35.7004,114.98,China
32.0003,44.3354,Iraq
-25.57,-49.18,Brazil
-23.6528,-46.5278,Brazil
50.35,18.91,Poland
-4.77,11.88,Congo (Brazzaville)
21.2622,40.3823,Saudi Arabia
30.5903,32.26,Egypt
37.9722,-122.0016,United States
13.9304,75.56,India
10.97,106.8301,Vietnam
25.6005,103.8166,China
47.9283,33.345,Ukraine
40.79,72.34,Uzbekistan
